UF;Municipio;DepAdm;EnsinoFund1_4;EnsinoFund5_8
Alagoas;PENEDO;Estadual;1.017;4.424
Alagoas;PENEDO;Municipal;5.702;2.029
Alagoas;PENEDO;Privada;652;565
Alagoas;PIACABUCU;Total;2.642;1.904
Alagoas;PIACABUCU;Estadual;182;494
Alagoas;PIACABUCU;Municipal;2.381;1.361
Alagoas;PIACABUCU;Privada;79;49
Alagoas;PILAR;Total;4.001;3.091
Alagoas;PILAR;Estadual;18;1.026
Alagoas;PILAR;Municipal;3.850;1.924
Alagoas;PILAR;Privada;133;141
Alagoas;PINDOBA;Total;560;274
Alagoas;PINDOBA;Estadual;71;0
Alagoas;PINDOBA;Municipal;489;274
Alagoas;PIRANHAS;Total;3.799;2.477
Alagoas;PIRANHAS;Estadual;1.142;1.725
Alagoas;PIRANHAS;Municipal;2.589;624
Alagoas;PIRANHAS;Privada;68;128
Alagoas;POCO DAS TRINCHEIRAS;Total;2.314;1.608
Alagoas;POCO DAS TRINCHEIRAS;Estadual;380;123
Alagoas;POCO DAS TRINCHEIRAS;Municipal;1.934;1.485
Alagoas;PORTO CALVO;Total;3.988;2.589
Alagoas;PORTO CALVO;Estadual;472;1.120
Alagoas;PORTO CALVO;Municipal;3.449;1.469
Alagoas;PORTO CALVO;Privada;67;0
Alagoas;PORTO DE PEDRAS;Total;1.787;901
Alagoas;PORTO DE PEDRAS;Estadual;280;193
Alagoas;PORTO DE PEDRAS;Municipal;1.507;708
Alagoas;PORTO DE PEDRAS;Privada;0;0
Alagoas;PORTO REAL DO COLEGIO;Total;2.669;1.500
Alagoas;PORTO REAL DO COLEGIO;Estadual;407;361
Alagoas;PORTO REAL DO COLEGIO;Municipal;2.262;1.139
Alagoas;QUEBRANGULO;Total;1.911;1.063
Alagoas;QUEBRANGULO;Estadual;160;247
Alagoas;QUEBRANGULO;Municipal;1.751;816
Alagoas;RIO LARGO;Total;8.299;7.433
Alagoas;RIO LARGO;Estadual;1.532;2.645
Alagoas;RIO LARGO;Municipal;6.262;4.421
Alagoas;RIO LARGO;Privada;505;367
Alagoas;ROTEIRO;Total;1.010;677
Alagoas;ROTEIRO;Municipal;1.010;677
Alagoas;SANTA LUZIA DO NORTE;Total;1.053;851
Alagoas;SANTA LUZIA DO NORTE;Estadual;0;0
Alagoas;SANTA LUZIA DO NORTE;Municipal;1.053;851
Alagoas;SANTANA DO IPANEMA;Total;6.918;5.340
Alagoas;SANTANA DO IPANEMA;Estadual;978;1.741
Alagoas;SANTANA DO IPANEMA;Municipal;5.574;3.305
Alagoas;SANTANA DO IPANEMA;Privada;366;294
Alagoas;SANTANA DO MUNDAU;Total;2.209;913
Alagoas;SANTANA DO MUNDAU;Estadual;33;314
Alagoas;SANTANA DO MUNDAU;Municipal;2.117;599
Alagoas;SANTANA DO MUNDAU;Privada;59;0
Alagoas;SAO BRAS;Total;998;827
Alagoas;SAO BRAS;Estadual;75;140
Alagoas;SAO BRAS;Municipal;923;687
Alagoas;SAO JOSE DA LAJE;Total;4.121;2.284
Alagoas;SAO JOSE DA LAJE;Estadual;0;898
